# R64：从开源数据合并来的药名别名。**手工审过的那批在 core/herbs.py 的
# HERB_ALIASES 里**，这个文件是批量合并来的，冲突时以代码里那份为准。
# 药典分列的品种（南北五味子、川怀牛膝、生熟地黄、生制首乌、川广木香）
# 在生成时就被排除，不在这里出现。
别名	正名	出处
箭头草	紫花地丁	zhongyao-xuexi-baodian/aliases.js
粉丹皮	牡丹皮	zhongyao-xuexi-baodian/aliases.js
粉猪苓	猪苓	zhongyao-xuexi-baodian/aliases.js
粉草	甘草	zhongyao-xuexi-baodian/aliases.js
粉萆薢	萆薢	zhongyao-xuexi-baodian/aliases.js
粉防己	防己	zhongyao-xuexi-baodian/aliases.js
糖罐子	金樱子	zhongyao-xuexi-baodian/aliases.js
糯谷根	糯稻根	zhongyao-xuexi-baodian/aliases.js
紫丹参	丹参	zhongyao-xuexi-baodian/aliases.js
紫油厚朴	厚朴	zhongyao-xuexi-baodian/aliases.js
紫苑	紫菀	zhongyao-xuexi-baodian/aliases.js
紫草根	紫草	zhongyao-xuexi-baodian/aliases.js
红小豆	赤小豆	zhongyao-xuexi-baodian/aliases.js
红果	山楂	zhongyao-xuexi-baodian/aliases.js
红枣	大枣	zhongyao-xuexi-baodian/aliases.js
红根	丹参	zhongyao-xuexi-baodian/aliases.js
红皮	陈皮	zhongyao-xuexi-baodian/aliases.js
红花艾	益母草	zhongyao-xuexi-baodian/aliases.js
红芽大戟	京大戟	zhongyao-xuexi-baodian/aliases.js
红蒲根	三棱	zhongyao-xuexi-baodian/aliases.js
红蓝花	红花	zhongyao-xuexi-baodian/aliases.js
红高岭土	赤石脂	zhongyao-xuexi-baodian/aliases.js
纵蓉	肉苁蓉	zhongyao-xuexi-baodian/aliases.js
纶布	昆布	zhongyao-xuexi-baodian/aliases.js
线芥	荆芥	zhongyao-xuexi-baodian/aliases.js
线麻子	火麻仁	zhongyao-xuexi-baodian/aliases.js
细石	石膏	zhongyao-xuexi-baodian/aliases.js
细草	远志	zhongyao-xuexi-baodian/aliases.js
绒蒿	茵陈	zhongyao-xuexi-baodian/aliases.js
绵芪	黄芪	zhongyao-xuexi-baodian/aliases.js
绵茵陈	茵陈	zhongyao-xuexi-baodian/aliases.js
绵萆薢	萆薢	zhongyao-xuexi-baodian/aliases.js
绿升麻	升麻	zhongyao-xuexi-baodian/aliases.js
羊合叶	淫羊藿	zhongyao-xuexi-baodian/aliases.js
羊起石	阳起石	zhongyao-xuexi-baodian/aliases.js
羌桃	核桃仁	zhongyao-xuexi-baodian/aliases.js
羌青	独活	zhongyao-xuexi-baodian/aliases.js
美国人参	西洋参	zhongyao-xuexi-baodian/aliases.js
美枣	大枣	zhongyao-xuexi-baodian/aliases.js
美草	甘草	zhongyao-xuexi-baodian/aliases.js
老翁花	白头翁	zhongyao-xuexi-baodian/aliases.js
肉果	肉豆蔻	zhongyao-xuexi-baodian/aliases.js
肥百部	百部	zhongyao-xuexi-baodian/aliases.js
肺心草	石韦	zhongyao-xuexi-baodian/aliases.js
肿手花根	甘遂	zhongyao-xuexi-baodian/aliases.js
胆草	龙胆	zhongyao-xuexi-baodian/aliases.js
胡桃仁	核桃仁	zhongyao-xuexi-baodian/aliases.js
胡连	胡黄连	zhongyao-xuexi-baodian/aliases.js
脐香	麝香	zhongyao-xuexi-baodian/aliases.js
脱力草	仙鹤草	zhongyao-xuexi-baodian/aliases.js
脱木	通草	zhongyao-xuexi-baodian/aliases.js
腐肠	黄芩	zhongyao-xuexi-baodian/aliases.js
臭菜	鱼腥草	zhongyao-xuexi-baodian/aliases.js
臭蒿	青蒿	zhongyao-xuexi-baodian/aliases.js
艾蒿	艾叶	zhongyao-xuexi-baodian/aliases.js
芎藭	川芎	zhongyao-xuexi-baodian/aliases.js
芦橘叶	枇杷叶	zhongyao-xuexi-baodian/aliases.js
芦茅根	芦根	zhongyao-xuexi-baodian/aliases.js
芦菔子	莱菔子	zhongyao-xuexi-baodian/aliases.js
芫青	斑蝥	zhongyao-xuexi-baodian/aliases.js
花斑毛	斑蝥	zhongyao-xuexi-baodian/aliases.js
花旗参	西洋参	zhongyao-xuexi-baodian/aliases.js
花粉	天花	zhongyao-xuexi-baodian/aliases.js
苇根	芦根	zhongyao-xuexi-baodian/aliases.js
苏合油	苏合香	zhongyao-xuexi-baodian/aliases.js
苏土元	土鳖虫	zhongyao-xuexi-baodian/aliases.js
苏薄荷	薄荷	zhongyao-xuexi-baodian/aliases.js
苡米	薏苡仁	zhongyao-xuexi-baodian/aliases.js
苦杖	虎杖	zhongyao-xuexi-baodian/aliases.js
苦椿菜	麻黄根	zhongyao-xuexi-baodian/aliases.js
苦楝根皮	苦楝皮	zhongyao-xuexi-baodian/aliases.js
苦胆草	穿心莲	zhongyao-xuexi-baodian/aliases.js
苦蒿	青蒿	zhongyao-xuexi-baodian/aliases.js
苦骨	苦参	zhongyao-xuexi-baodian/aliases.js
茈胡	柴胡	zhongyao-xuexi-baodian/aliases.js
茯灵	茯苓	zhongyao-xuexi-baodian/aliases.js
茵陈蒿	茵陈	zhongyao-xuexi-baodian/aliases.js
茶辣	吴茱萸	zhongyao-xuexi-baodian/aliases.js
茺蔚	益母草	zhongyao-xuexi-baodian/aliases.js
草决明	决明子	zhongyao-xuexi-baodian/aliases.js
草决明(误)	青葙子	zhongyao-xuexi-baodian/aliases.js
草河车	重楼	zhongyao-xuexi-baodian/aliases.js
草红花	红花	zhongyao-xuexi-baodian/aliases.js
草芍药	赤芍	zhongyao-xuexi-baodian/aliases.js
草豆蔻子	草果	zhongyao-xuexi-baodian/aliases.js
荔支核	荔枝核	zhongyao-xuexi-baodian/aliases.js
荔核	荔枝核	zhongyao-xuexi-baodian/aliases.js
莎草根	香附	zhongyao-xuexi-baodian/aliases.js
莱阳参	沙参	zhongyao-xuexi-baodian/aliases.js
莲子草	墨旱莲	zhongyao-xuexi-baodian/aliases.js
莲实	莲子	zhongyao-xuexi-baodian/aliases.js
莲肉	莲子	zhongyao-xuexi-baodian/aliases.js
菩提子	薏苡仁	zhongyao-xuexi-baodian/aliases.js
萎蕤	玉竹	zhongyao-xuexi-baodian/aliases.js
萝丝子	菟丝子	zhongyao-xuexi-baodian/aliases.js
萝卜子	莱菔子	zhongyao-xuexi-baodian/aliases.js
落翘	连翘	zhongyao-xuexi-baodian/aliases.js
葈耳实	苍耳子	zhongyao-xuexi-baodian/aliases.js
葳草	白薇	zhongyao-xuexi-baodian/aliases.js
蒌根	天花	zhongyao-xuexi-baodian/aliases.js
蒜脑薯	百合	zhongyao-xuexi-baodian/aliases.js
蒜辫子草	知母	zhongyao-xuexi-baodian/aliases.js
蒲公草	蒲公英	zhongyao-xuexi-baodian/aliases.js
蒲花粉	蒲黄	zhongyao-xuexi-baodian/aliases.js
蒿本	藁本	zhongyao-xuexi-baodian/aliases.js
蓝靛根	板蓝根	zhongyao-xuexi-baodian/aliases.js
蔓京子	蔓荆子	zhongyao-xuexi-baodian/aliases.js
蕃荷菜	薄荷	zhongyao-xuexi-baodian/aliases.js
蕲艾	艾叶	zhongyao-xuexi-baodian/aliases.js
蕺菜	鱼腥草	zhongyao-xuexi-baodian/aliases.js
薏米	薏苡仁	zhongyao-xuexi-baodian/aliases.js
薤根	薤白	zhongyao-xuexi-baodian/aliases.js
薯蓣	山药	zhongyao-xuexi-baodian/aliases.js
藏青果	诃子	zhongyao-xuexi-baodian/aliases.js
藕实	莲子	zhongyao-xuexi-baodian/aliases.js
藕节巴	藕节	zhongyao-xuexi-baodian/aliases.js
蘹香	小茴香	zhongyao-xuexi-baodian/aliases.js
虎兰	泽兰	zhongyao-xuexi-baodian/aliases.js
虫草	冬虫夏草	zhongyao-xuexi-baodian/aliases.js
虱麻头	苍耳子	zhongyao-xuexi-baodian/aliases.js
蚂蟥	水蛭	zhongyao-xuexi-baodian/aliases.js
蚌壳	珍珠母	zhongyao-xuexi-baodian/aliases.js
蚕羌	羌活	zhongyao-xuexi-baodian/aliases.js
蚝壳	牡蛎	zhongyao-xuexi-baodian/aliases.js
蚳母	知母	zhongyao-xuexi-baodian/aliases.js
蛇床仁	蛇床子	zhongyao-xuexi-baodian/aliases.js
蛇米	蛇床子	zhongyao-xuexi-baodian/aliases.js
蛤蟹	蛤蚧	zhongyao-xuexi-baodian/aliases.js
蛮姜	高良姜	zhongyao-xuexi-baodian/aliases.js
蜀椒	花椒	zhongyao-xuexi-baodian/aliases.js
蜜草	甘草	zhongyao-xuexi-baodian/aliases.js
蜜香	沉香	zhongyao-xuexi-baodian/aliases.js
蝉壳	蝉蜕	zhongyao-xuexi-baodian/aliases.js
蝉衣	蝉蜕	zhongyao-xuexi-baodian/aliases.js
蝎子	全蝎	zhongyao-xuexi-baodian/aliases.js
螳螂子	桑螵蛸	zhongyao-xuexi-baodian/aliases.js
血茸片	鹿茸	zhongyao-xuexi-baodian/aliases.js
血见愁	茜草	zhongyao-xuexi-baodian/aliases.js
血风藤	鸡血藤	zhongyao-xuexi-baodian/aliases.js
西当归	当归	zhongyao-xuexi-baodian/aliases.js
西芎	川芎	zhongyao-xuexi-baodian/aliases.js
见肿消	商陆	zhongyao-xuexi-baodian/aliases.js
诃黎勒	诃子	zhongyao-xuexi-baodian/aliases.js
谷茴	小茴香	zhongyao-xuexi-baodian/aliases.js
豆槐花	槐花	zhongyao-xuexi-baodian/aliases.js
豕零	猪苓	zhongyao-xuexi-baodian/aliases.js
败花	芫花	zhongyao-xuexi-baodian/aliases.js
败龟甲	龟甲	zhongyao-xuexi-baodian/aliases.js
赤丹	朱砂	zhongyao-xuexi-baodian/aliases.js
赤参	丹参	zhongyao-xuexi-baodian/aliases.js
赤地榆	地榆	zhongyao-xuexi-baodian/aliases.js
赤术	苍术	zhongyao-xuexi-baodian/aliases.js
赤朴	厚朴	zhongyao-xuexi-baodian/aliases.js
赤符	赤石脂	zhongyao-xuexi-baodian/aliases.js
赤芫	芫花	zhongyao-xuexi-baodian/aliases.js
赤虫	地龙	zhongyao-xuexi-baodian/aliases.js
赤豆	赤小豆	zhongyao-xuexi-baodian/aliases.js
车前实	车前子	zhongyao-xuexi-baodian/aliases.js
软石膏	石膏	zhongyao-xuexi-baodian/aliases.js
软紫草	紫草	zhongyao-xuexi-baodian/aliases.js
辣菜子	白芥子	zhongyao-xuexi-baodian/aliases.js
辰砂	朱砂	zhongyao-xuexi-baodian/aliases.js
辽沙参	沙参	zhongyao-xuexi-baodian/aliases.js
过路黄	金钱草	zhongyao-xuexi-baodian/aliases.js
连及草	白及	zhongyao-xuexi-baodian/aliases.js
连壳	连翘	zhongyao-xuexi-baodian/aliases.js
连母	知母	zhongyao-xuexi-baodian/aliases.js
邛巨	京大戟	zhongyao-xuexi-baodian/aliases.js
郁子	郁李仁	zhongyao-xuexi-baodian/aliases.js
郁里仁	郁李仁	zhongyao-xuexi-baodian/aliases.js
郄蝉草	丹参	zhongyao-xuexi-baodian/aliases.js
酸枣核	酸枣仁	zhongyao-xuexi-baodian/aliases.js
酸梅	乌梅	zhongyao-xuexi-baodian/aliases.js
酸橙枳实	枳实	zhongyao-xuexi-baodian/aliases.js
酸筒杆	虎杖	zhongyao-xuexi-baodian/aliases.js
酸赭	地榆	zhongyao-xuexi-baodian/aliases.js
重合	玄参	zhongyao-xuexi-baodian/aliases.js
野半夏	白附子	zhongyao-xuexi-baodian/aliases.js
野天门冬	百部	zhongyao-xuexi-baodian/aliases.js
野槐	苦参	zhongyao-xuexi-baodian/aliases.js
野猪食	猪苓	zhongyao-xuexi-baodian/aliases.js
野红花	小蓟	zhongyao-xuexi-baodian/aliases.js
野韭	薤白	zhongyao-xuexi-baodian/aliases.js
野鸡冠花子	青葙子	zhongyao-xuexi-baodian/aliases.js
金不换	三七	zhongyao-xuexi-baodian/aliases.js
金毛狗脊	狗脊	zhongyao-xuexi-baodian/aliases.js
金毛狮子	狗脊	zhongyao-xuexi-baodian/aliases.js
金沙藤	海金沙	zhongyao-xuexi-baodian/aliases.js
金沸草花	旋覆花	zhongyao-xuexi-baodian/aliases.js
金牛衣	蝉蜕	zhongyao-xuexi-baodian/aliases.js
金花	金银花	zhongyao-xuexi-baodian/aliases.js
金药树花	槐花	zhongyao-xuexi-baodian/aliases.js
金蕊	菊花	zhongyao-xuexi-baodian/aliases.js
金钗石斛	石斛	zhongyao-xuexi-baodian/aliases.js
金锁王	虎杖	zhongyao-xuexi-baodian/aliases.js
钉头赭石	代赭石	zhongyao-xuexi-baodian/aliases.js
铁扇子	桑叶	zhongyao-xuexi-baodian/aliases.js
铁朱	代赭石	zhongyao-xuexi-baodian/aliases.js
铁脚威灵仙	威灵仙	zhongyao-xuexi-baodian/aliases.js
铁脚梨	木瓜	zhongyao-xuexi-baodian/aliases.js
铃铛花	桔梗	zhongyao-xuexi-baodian/aliases.js
铜钱草	金钱草	zhongyao-xuexi-baodian/aliases.js
银杏	白果	zhongyao-xuexi-baodian/aliases.js
银条参	沙参	zhongyao-xuexi-baodian/aliases.js
银胡	银柴胡	zhongyao-xuexi-baodian/aliases.js
锈铁棒	锁阳	zhongyao-xuexi-baodian/aliases.js
锦纹	大黄	zhongyao-xuexi-baodian/aliases.js
长生草	独活	zhongyao-xuexi-baodian/aliases.js
防党	党参	zhongyao-xuexi-baodian/aliases.js
阳春砂	砂仁	zhongyao-xuexi-baodian/aliases.js
陵游	龙胆	zhongyao-xuexi-baodian/aliases.js
随风子	诃子	zhongyao-xuexi-baodian/aliases.js
雄丁香	丁香	zhongyao-xuexi-baodian/aliases.js
雷公头	香附	zhongyao-xuexi-baodian/aliases.js
雷实	雷丸	zhongyao-xuexi-baodian/aliases.js
霜桑叶	桑叶	zhongyao-xuexi-baodian/aliases.js
青姜	莪术	zhongyao-xuexi-baodian/aliases.js
青橘皮	青皮	zhongyao-xuexi-baodian/aliases.js
青竹茹	竹茹	zhongyao-xuexi-baodian/aliases.js
青翘	连翘	zhongyao-xuexi-baodian/aliases.js
青菀	紫菀	zhongyao-xuexi-baodian/aliases.js
青葙实	青葙子	zhongyao-xuexi-baodian/aliases.js
青贝	贝母	zhongyao-xuexi-baodian/aliases.js
靛青根	板蓝根	zhongyao-xuexi-baodian/aliases.js
面其菜	昆布	zhongyao-xuexi-baodian/aliases.js
风肉	防风	zhongyao-xuexi-baodian/aliases.js
香独活	独活	zhongyao-xuexi-baodian/aliases.js
香白芷	白芷	zhongyao-xuexi-baodian/aliases.js
香茹	香薷	zhongyao-xuexi-baodian/aliases.js
香草	佩兰	zhongyao-xuexi-baodian/aliases.js
香菜	香薷	zhongyao-xuexi-baodian/aliases.js
香蒲棒粉	蒲黄	zhongyao-xuexi-baodian/aliases.js
香蒿	青蒿	zhongyao-xuexi-baodian/aliases.js
香附子	香附	zhongyao-xuexi-baodian/aliases.js
马木通	木通	zhongyao-xuexi-baodian/aliases.js
马缨花皮	合欢皮	zhongyao-xuexi-baodian/aliases.js
马蹄决明	决明子	zhongyao-xuexi-baodian/aliases.js
马述	郁金	zhongyao-xuexi-baodian/aliases.js
马鳖	水蛭	zhongyao-xuexi-baodian/aliases.js
驴皮胶	阿胶	zhongyao-xuexi-baodian/aliases.js
鬼脸升麻	升麻	zhongyao-xuexi-baodian/aliases.js
鲍鱼壳	石决明	zhongyao-xuexi-baodian/aliases.js
鲜姜	生姜	zhongyao-xuexi-baodian/aliases.js
鳖壳	鳖甲	zhongyao-xuexi-baodian/aliases.js
鸡头米	芡实	zhongyao-xuexi-baodian/aliases.js
鸡头黄精	黄精	zhongyao-xuexi-baodian/aliases.js
鸡爪连	黄连	zhongyao-xuexi-baodian/aliases.js
鸡肠风	巴戟天	zhongyao-xuexi-baodian/aliases.js
鸡胵皮	鸡内金	zhongyao-xuexi-baodian/aliases.js
鸭脚子	白果	zhongyao-xuexi-baodian/aliases.js
鹿胶	鹿角胶	zhongyao-xuexi-baodian/aliases.js
鹿角霜胶	鹿角胶	zhongyao-xuexi-baodian/aliases.js
麦夏枯	夏枯草	zhongyao-xuexi-baodian/aliases.js
麻子仁	火麻仁	zhongyao-xuexi-baodian/aliases.js
黄地榆	虎杖	zhongyao-xuexi-baodian/aliases.js
黄姜	姜黄	zhongyao-xuexi-baodian/aliases.js
黄栀子	栀子	zhongyao-xuexi-baodian/aliases.js
黄檀	檀香	zhongyao-xuexi-baodian/aliases.js
黄檗	黄柏	zhongyao-xuexi-baodian/aliases.js
黄牛角	水牛角	zhongyao-xuexi-baodian/aliases.js
黄耆	黄芪	zhongyao-xuexi-baodian/aliases.js
黄良	大黄	zhongyao-xuexi-baodian/aliases.js
黄花地丁	蒲公英	zhongyao-xuexi-baodian/aliases.js
黄饭花	密蒙花	zhongyao-xuexi-baodian/aliases.js
黑丑	牵牛子	zhongyao-xuexi-baodian/aliases.js
黑升麻	升麻	zhongyao-xuexi-baodian/aliases.js
黑参	玄参	zhongyao-xuexi-baodian/aliases.js
黑昆布	昆布	zhongyao-xuexi-baodian/aliases.js
黑椹	桑椹	zhongyao-xuexi-baodian/aliases.js
黑白丑	牵牛子	zhongyao-xuexi-baodian/aliases.js
黑脚威灵仙	威灵仙	zhongyao-xuexi-baodian/aliases.js
黑苏子	紫苏子	zhongyao-xuexi-baodian/aliases.js
黑药	羌活	zhongyao-xuexi-baodian/aliases.js
鼠粘子	牛蒡子	zhongyao-xuexi-baodian/aliases.js
龙沙	麻黄	zhongyao-xuexi-baodian/aliases.js
龙牙草	仙鹤草	zhongyao-xuexi-baodian/aliases.js
龙眼干	龙眼肉	zhongyao-xuexi-baodian/aliases.js
龙脑	冰片	zhongyao-xuexi-baodian/aliases.js
龙脑香	冰片	zhongyao-xuexi-baodian/aliases.js
龙舌	泽兰	zhongyao-xuexi-baodian/aliases.js
龙虎草	京大戟	zhongyao-xuexi-baodian/aliases.js
龙须	玉米须	zhongyao-xuexi-baodian/aliases.js
龟版	龟甲	zhongyao-xuexi-baodian/aliases.js
